Country,Mentioned,Not
Argentina,10,102
Australia,74,1403
Brazil,29,1457
Belarus,355,118
Chile,56,944
China,241,2059
Taiwan,104,1134
Colombia,49,1463
Estonia,390,1143
Georgia,386,816
Germany,303,1739
India,1044,3034
Jordan,326,874
South Korea,410,790
Mexico,203,1797
Morocco,165,1035
Netherlands,156,1746
New Zealand,24,817
Nigeria,368,1391
Peru,112,1098
Philippines,260,940
Poland,53,913
Romania,353,115
Russia,430,2061
Slovenia,117,952
South Africa,678,2853
Spain,58,1131
Sweden,34,1172
Turkey,574,1031
Ukraine,253,1247
United States,125,2107
Uruguay,16,984
