Country,Mentioned,Not
Argentina,49,103
Australia,98,195
Belarus,105,1987
Chile,120,880
China,343,1157
Taiwan,133,647
Colombia,61,2935
Estonia,77,944
Georgia,190,1818
Germany,57,1969
India,734,1306
Mexico,403,1107
New Zealand,36,1165
Nigeria,406,159
Peru,140,1071
Philippines,290,910
Poland,230,923
Romania,368,871
Russia,170,187
South Africa,329,2606
Spain,101,111
Sweden,30,979
Turkey,776,1132
United States,102,144
Uruguay,68,932
