Country,Mentioned,Not
Argentina,471,608
Australia,1223,825
Belarus,1548,544
Chile,537,463
China,970,530
Taiwan,630,150
Colombia,1001,1995
Estonia,883,138
Georgia,1396,612
Germany,819,1207
India,1175,865
South Korea,205,1044
Mexico,654,856
New Zealand,791,410
Nigeria,1571,425
Peru,641,570
Philippines,815,385
Poland,912,241
Romania,720,519
Russia,1629,411
South Africa,1784,1151
Spain,488,723
Sweden,375,634
Turkey,1697,210
United States,971,571
Uruguay,587,413
