Country,Mentioned,Not
Argentina,381,649
Australia,1033,444
Brazil,579,907
Belarus,1347,188
Chile,618,382
China,1636,664
Taiwan,1059,179
Colombia,808,704
Estonia,1211,322
Georgia,936,266
Germany,1437,608
India,367,408
Jordan,868,332
South Korea,835,365
Mexico,1002,998
Morocco,927,273
Netherlands,1609,293
New Zealand,613,228
Nigeria,112,639
Peru,826,384
Philippines,833,367
Poland,631,335
Romania,1144,359
Russia,2108,390
Slovenia,668,401
South Africa,2119,1412
Spain,512,677
Sweden,620,586
Turkey,1336,269
Ukraine,1254,246
United States,1539,693
Uruguay,513,487
