Country,Mentioned,Not
Argentina,14,988
Australia,40,1381
Brazil,88,1412
Chile,59,941
China,312,1679
Taiwan,60,1167
Colombia,246,2779
Georgia,540,960
Germany,88,1976
India,879,1121
Jordan,602,598
South Korea,313,887
Mexico,211,1349
Morocco,431,739
Netherlands,29,1021
Peru,110,139
Poland,105,895
Romania,265,1511
Russia,317,1716
Slovenia,135,902
South Africa,131,2796
Spain,68,1132
Sweden,12,991
Turkey,450,896
Ukraine,128,872
United States,31,121
Uruguay,60,940
