Counrty,Mentioned,Not
Argentina,423,656
Australia,1508,540
Belarus,1724,368
Chile,585,415
China,1062,438
Taiwan,691,89
Colombia,909,2087
Estonia,884,137
Georgia,1622,386
Germany,1049,977
India,1344,696
South Korea,25,1224
Mexico,814,696
New Zealand,946,255
Nigeria,1799,197
Peru,888,323
Philippines,1032,168
Poland,897,256
Romania,751,488
Russia,1787,253
South Africa,2196,739
Spain,646,565
Sweden,726,283
Turkey,1761,146
United States,1277,265
Uruguay,442,557
