Country,Mentioned,Not
Argentina,680,350
Australia,1386,91
Brazil,1192,294
Belarus,1463,72
Chile,741,259
China,2219,81
Taiwan,118,58
Colombia,1147,365
Estonia,1332,201
Georgia,1084,118
Germany,1356,687
India,3815,263
Jordan,964,236
South Korea,1165,35
Mexico,1389,611
Morocco,995,205
Netherlands,1756,146
New Zealand,718,123
Nigeria,1341,418
Peru,105,160
Philippines,1146,54
Poland,714,252
Romania,1226,277
Russia,2329,169
Slovenia,767,302
South Africa,3027,504
Spain,870,319
Sweden,901,305
Turkey,1498,107
Ukraine,1372,128
United States,1972,260
Uruguay,600,400
