Country,Mentioned,Not
Argentina,406,874
Chile,632,568
China,901,99
India,883,1119
Jordan,1208,15
South Korea,1121,79
Mexico,1043,492
Morocco,1162,88
Nigeria,1503,519
Peru,997,504
Philippines,982,218
South Africa,1871,1129
Spain,638,571
Sweden,612,402
Turkey,3215,187
United States,884,316
