Country,Mentioned,Not
Argentina,114,916
Australia,198,1279
Brazil,166,132
Belarus,1107,428
Chile,257,743
China,1211,1089
Taiwan,505,733
Colombia,523,989
Estonia,725,808
Georgia,1041,161
Germany,459,1587
India,265,1428
Jordan,744,456
South Korea,958,242
Mexico,465,1535
Morocco,1026,174
Netherlands,131,1771
New Zealand,124,717
Nigeria,124,519
Peru,536,674
Philippines,335,865
Poland,382,584
Romania,814,689
Russia,1655,840
Slovenia,379,690
South Africa,1338,2193
Spain,61,1128
Sweden,51,1155
Turkey,1371,234
Ukraine,925,575
United States,455,1777
Uruguay,96,904
