Country,Mentioned,Not
Argentina,295,784
Australia,505,1543
Belarus,1326,766
Chile,414,586
China,911,589
Taiwan,567,213
Colombia,446,255
Estonia,652,369
Georgia,1547,461
Germany,270,1756
India,1252,788
Mexico,602,908
New Zealand,268,933
Nigeria,1787,209
Peru,652,559
Philippines,390,810
Poland,761,392
Romania,691,548
Russia,1447,593
South Africa,1482,1453
Spain,245,965
Sweden,113,896
Turkey,1712,196
United States,454,1088
Uruguay,319,681
