Country,Mentioned,Not
Argentina,283,997
Chile,393,807
China,732,268
India,577,1425
Jordan,1203,20
South Korea,989,211
Mexico,685,850
Morocco,1163,88
Nigeria,1488,534
Peru,738,763
Philippines,284,916
South Africa,1385,1615
Spain,179,103
Sweden,62,952
Turkey,3072,329
United States,280,920
