Country,Mentioned,Not
Argentina,162,917
Australia,308,1740
Belarus,1214,878
Chile,213,787
China,935,565
Taiwan,562,218
Colombia,251,2745
Estonia,447,574
Georgia,1428,580
Germany,132,1894
India,1231,809
South Korea,66,1183
Mexico,500,101
New Zealand,200,1001
Nigeria,1773,223
Peru,475,736
Philippines,882,318
Poland,590,563
Romania,529,710
Russia,1134,906
South Africa,1292,1643
Spain,283,927
Sweden,80,929
Turkey,1547,360
United States,287,1255
Uruguay,192,808
