Country,Mentioned,Not
Argentina,148,1132
Chile,286,914
China,794,206
India,788,1214
Jordan,1169,55
South Korea,1073,127
Mexico,515,102
Morocco,1013,238
Nigeria,1365,657
Peru,428,1073
Philippines,746,454
South Africa,797,2204
Spain,246,963
Sweden,68,946
Turkey,2845,556
United States,201,999
