Country,Mentioned,Not
Argentina,59,971
Australia,227,1250
Brazil,102,1384
Belarus,935,600
Chile,179,821
China,1684,616
Taiwan,776,462
Colombia,349,1163
Estonia,745,788
Georgia,822,380
Germany,491,1553
India,2509,1569
Jordan,816,384
South Korea,1062,138
Mexico,323,1677
Morocco,565,635
Netherlands,184,1718
New Zealand,141,700
Nigeria,818,941
Peru,383,827
Philippines,898,302
Poland,247,719
Romania,638,865
Russia,1356,1140
Slovenia,283,786
South Africa,625,2906
Spain,147,1042
Sweden,78,1128
Turkey,1203,402
Ukraine,784,716
United States,298,1934
Uruguay,55,945
