Country,Mentioned,Not
Argentina,61,1018
Australia,94,1954
Belarus,131,1961
Chile,117,883
China,304,1196
Taiwan,213,567
Estonia,194,827
Georgia,218,179
Germany,145,1881
India,675,1365
South Korea,481,768
Mexico,409,1101
New Zealand,65,1136
Nigeria,394,1602
Peru,124,1087
Philippines,238,962
Poland,242,911
Romania,406,833
Russia,243,1797
South Africa,624,2311
Spain,89,1122
Sweden,47,962
Turkey,833,1074
United States,149,1393
Uruguay,71,928
