Counrty,Mentioned,Not
Argentina,75,1205
Chile,129,1071
China,160,840
India,764,1238
Jordan,488,735
South Korea,562,638
Mexico,220,1316
Morocco,238,1012
Nigeria,566,1456
Peru,163,1338
Philippines,184,1016
South Africa,918,2082
Spain,131,1078
Sweden,28,986
Turkey,1257,2145
United States,122,1078
