Country,Mentioned,Not
Argentina,28,974
Australia,80,1342
Brazil,101,1399
Chile,95,905
China,343,1648
Taiwan,296,931
Georgia,358,1142
Germany,274,179
India,700,1301
Jordan,795,405
South Korea,460,740
Mexico,152,1408
Morocco,291,905
Netherlands,93,957
New Zealand,70,884
Peru,89,1411
Poland,137,863
Romania,289,1487
Russia,648,1385
Slovenia,182,855
South Africa,728,2199
Spain,78,1122
Sweden,18,985
Turkey,412,934
Ukraine,186,814
United States,158,1083
Uruguay,52,948
