Country,Mentioned,Not
Argentina,26,976
Australia,124,1222
Brazil,113,1372
Chile,62,909
China,255,1703
Taiwan,89,1137
Georgia,207,1263
Germany,180,1774
India,796,1191
Jordan,575,625
South Korea,381,819
Mexico,174,1386
Morocco,311,883
Netherlands,102,948
Peru,69,1431
Poland,84,914
Romania,205,1512
Russia,278,1755
Slovenia,94,943
South Africa,231,2696
Spain,39,1161
Sweden,12,991
Turkey,340,1005
Ukraine,122,851
United States,133,1109
Uruguay,57,938
