Country,Mentioned,Not
Argentina,8,994
Australia,33,1313
Brazil,88,1397
Chile,67,908
China,697,1262
Taiwan,207,1019
Colombia,62,2959
Georgia,346,1116
Germany,46,1904
India,854,1114
Jordan,1019,181
South Korea,573,627
Mexico,144,1416
Morocco,937,258
Netherlands,5,1045
Peru,78,1422
Poland,90,908
Romania,267,145
Russia,86,1947
Slovenia,87,950
South Africa,291,2636
Spain,42,1158
Sweden,4,999
Turkey,876,470
Ukraine,90,887
United States,101,114
Uruguay,35,960
